Value of v is: (0.367, 0.254)
(0.0, 0.0)
(1.0, 0.0)
(-1.0, 0.0)
(1.367, 0.254)
(0.633, -0.254)
(-0.633, 0.254)
(-1.367, -0.254)
(1.437173, 0.440436)
(1.296827, 0.067563996)
(0.70317304, -0.067563996)
(0.562827, -0.440436)
(-0.562827, 0.440436)
(-0.70317304, 0.067563996)
(-1.296827, -0.067563996)
(-1.437173, -0.440436)
(1.4155718, 0.52668196)
(1.4587742, 0.35419005)
(1.2752258, 0.15380996)
(1.3184282, -0.018681966)
(0.6815718, 0.018681966)
(0.7247743, -0.15380996)
(0.54122573, -0.35419005)
(0.58442825, -0.52668196)
(-0.58442825, 0.52668196)
(-0.54122573, 0.35419005)
(-0.7247743, 0.15380996)
(-0.6815718, -0.018681966)
(-1.3184282, 0.018681966)
(-1.2752258, -0.15380996)
(-1.4587742, -0.35419005)
(-1.4155718, -0.52668196)
(1.3857377, 0.5528475)
(1.445406, 0.5005164)
(1.42894, 0.3803556)
(1.4886084, 0.3280245)
(1.2453916, 0.17997551)
(1.3050599, 0.12764442)
(1.288594, 0.007483583)
(1.3482623, -0.044847514)
(0.65173763, 0.044847514)
(0.71140593, -0.007483583)
(0.69494015, -0.12764442)
(0.75460845, -0.17997551)
(0.5113916, -0.3280245)
(0.5710599, -0.3803556)
(0.5545941, -0.5005164)
(0.6142624, -0.5528475)
(-0.6142624, 0.5528475)
(-0.5545941, 0.5005164)
(-0.5710599, 0.3803556)
(-0.5113916, 0.3280245)
(-0.75460845, 0.17997551)
(-0.69494015, 0.12764442)
(-0.71140593, 0.007483583)
(-0.65173763, -0.044847514)
(-1.3482623, 0.044847514)
(-1.288594, -0.007483583)
(-1.3050599, -0.12764442)
(-1.2453916, -0.17997551)
(-1.4886084, -0.3280245)
(-1.42894, -0.3803556)
(-1.445406, -0.5005164)
(-1.3857377, -0.5528475)
(1.3681425, 0.5548724)
(1.4033328, 0.5508226)
(1.4278108, 0.5025413)
(1.4630011, 0.49849153)
(1.4113449, 0.3823805)
(1.4465352, 0.3783307)
(1.4710132, 0.3300494)
(1.5062035, 0.32599962)
(1.2277964, 0.1820004)
(1.2629868, 0.17795062)
(1.2874647, 0.12966931)
(1.3226551, 0.12561953)
(1.2709988, 0.009508469)
(1.3061892, 0.0054586967)
(1.3306671, -0.04282263)
(1.3658575, -0.0468724)
(0.63414246, 0.0468724)
(0.6693328, 0.04282263)
(0.69381076, -0.0054586967)
(0.7290011, -0.009508469)
(0.677345, -0.12561953)
(0.7125353, -0.12966931)
(0.7370133, -0.17795062)
(0.7722036, -0.1820004)
(0.4937964, -0.32599962)
(0.52898675, -0.3300494)
(0.5534647, -0.3783307)
(0.58865505, -0.3823805)
(0.5369989, -0.49849153)
(0.5721893, -0.5025413)
(0.59666723, -0.5508226)
(0.6318576, -0.5548724)
(-0.6318576, 0.5548724)
(-0.59666723, 0.5508226)
(-0.5721893, 0.5025413)
(-0.5369989, 0.49849153)
(-0.58865505, 0.3823805)
(-0.5534647, 0.3783307)
(-0.52898675, 0.3300494)
(-0.4937964, 0.32599962)
(-0.7722036, 0.1820004)
(-0.7370133, 0.17795062)
(-0.7125353, 0.12966931)
(-0.677345, 0.12561953)
(-0.7290011, 0.009508469)
(-0.69381076, 0.0054586967)
(-0.6693328, -0.04282263)
(-0.63414246, -0.0468724)
(-1.3658575, 0.0468724)
(-1.3306671, 0.04282263)
(-1.3061892, -0.0054586967)
(-1.2709988, -0.009508469)
(-1.3226551, -0.12561953)
(-1.2874647, -0.12966931)
(-1.2629868, -0.17795062)
(-1.2277964, -0.1820004)
(-1.5062035, -0.32599962)
(-1.4710132, -0.3300494)
(-1.4465352, -0.3783307)
(-1.4113449, -0.3823805)
(-1.4630011, -0.49849153)
(-1.4278108, -0.5025413)
(-1.4033328, -0.5508226)
(-1.3681425, -0.5548724)
(1.3611708, 0.5511463)
(1.3751142, 0.55859846)
(1.3963611, 0.54709655)
(1.4103045, 0.5545487)
(1.4208391, 0.49881527)
(1.4347825, 0.50626737)
(1.4560294, 0.4947655)
(1.4699728, 0.5022176)
(1.4043732, 0.37865445)
(1.4183166, 0.38610652)
(1.4395635, 0.37460467)
(1.453507, 0.38205674)
(1.4640415, 0.32632336)
(1.4779849, 0.33377543)
(1.4992318, 0.32227358)
(1.5131752, 0.32972565)
(1.2208247, 0.17827436)
(1.2347682, 0.18572643)
(1.2560151, 0.17422459)
(1.2699585, 0.18167666)
(1.280493, 0.12594327)
(1.2944365, 0.13339534)
(1.3156834, 0.12189349)
(1.3296268, 0.12934557)
(1.2640271, 0.0057824273)
(1.2779706, 0.013234511)
(1.2992175, 0.0017326546)
(1.3131609, 0.009184739)
(1.3236954, -0.046548672)
(1.3376389, -0.039096586)
(1.3588858, -0.050598443)
(1.3728292, -0.043146357)
(0.6271707, 0.043146357)
(0.64111423, 0.050598443)
(0.662361, 0.039096586)
(0.6763046, 0.046548672)
(0.686839, -0.009184739)
(0.70078254, -0.0017326546)
